lon,lat
139.784427,35.697403
139.793334,35.69579
139.814136,35.696802
139.826262,35.697345
139.842181,35.70643
139.857777,35.716903
139.881755,35.733207
139.908142,35.728903
139.92741,35.720898
139.943092,35.714276
139.959536,35.707283
139.984707,35.701865
140.00393,35.699811
140.020179,35.691367
140.042241,35.672664
140.057899,35.6594
140.073025,35.65169
140.09256,35.637264
140.103337,35.622639
140.112837,35.613425
139.766103,35.681391
139.77323,35.688687
139.78238,35.693365
139.814136,35.696802
139.857777,35.716903
139.908142,35.728903
139.984707,35.701865
140.020179,35.691367
140.09256,35.637264
140.112837,35.613425
140.122261,35.617014
140.149222,35.636088
140.165023,35.662756
140.200263,35.68566
140.226722,35.709743
140.267828,35.704217
140.288136,35.683967
140.317304,35.663228
140.362447,35.628402
140.410109,35.608513
140.457587,35.63604
140.490736,35.661739
140.522328,35.685638
140.552419,35.699317
140.603304,35.718308
140.655041,35.721831
140.683896,35.729339
140.714018,35.737836
140.7374,35.747383
140.795143,35.739386
140.827557,35.729449
139.413704,35.698202
139.393556,35.703526
139.384529,35.706337
139.375816,35.709058
139.361564,35.713305
139.343468,35.721278
139.333677,35.734547
139.327763,35.742456
139.316188,35.758073
139.302233,35.776048
139.284032,35.78473
139.272841,35.789768
139.258096,35.790512
139.237289,35.787545
139.229515,35.788665
139.225096,35.79683
139.216161,35.803946
139.207431,35.807382
139.193324,35.80594
139.182589,35.801468
139.16429,35.813697
139.152102,35.816247
139.128932,35.815127
139.114861,35.811735
139.096961,35.809357
139.343468,35.721278
139.33584,35.728321
139.311665,35.725904
139.286715,35.727998
139.269907,35.729711
139.256355,35.730961
139.228039,35.732248
139.338998,35.655555
139.363348,35.669232
139.368481,35.685799
139.343468,35.721278
139.33594,35.745811
139.346805,35.771158
139.328546,35.810822
139.325965,35.852928
139.33809,35.896328
139.33809,35.896328
139.309237,35.940806
139.299437,35.962559
139.288789,36.003309
139.260412,36.05903
139.229952,36.075466
139.195205,36.096296
139.194224,36.118013
139.200758,36.153858
139.182127,36.172938
139.13582,36.192624
139.102306,36.216668
139.777043,35.71379
139.753846,35.74683
139.720928,35.778026
139.657109,35.858496
139.633587,35.893867
139.62405,35.906439
139.63214,35.931997
139.640291,35.948751
139.653016,35.981272
139.666826,36.01774
139.67208,36.038732
139.67727,36.065684
139.67913,36.089428
139.694177,36.136852
139.777043,35.71379
139.771287,35.727908
139.777131,35.733383
139.7994,35.734033
139.804872,35.749677
139.825019,35.762222
139.847573,35.766527
139.870482,35.769582
139.900779,35.784472
139.911528,35.800459
139.917305,35.811682
139.921076,35.825467
139.931303,35.833436
139.954111,35.844655
139.971148,35.862316
139.988035,35.875623
140.010466,35.87279
140.04121,35.872558
